https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume BTC
1694995200000,2023-09-18 00:00:00,BTC/UST,26521,27404,26395,26764,9924047.75854868,370.79837687
1694908800000,2023-09-17 00:00:00,BTC/UST,26561,26611,26404,26521,2203419.4246482,83.0820642
1694822400000,2023-09-16 00:00:00,BTC/UST,26600,26767,26457,26557,2265225.9158957503,85.29675475
1694736000000,2023-09-15 00:00:00,BTC/UST,26524,26878,26203,26600,6868166.053377999,258.20173133
1694649600000,2023-09-14 00:00:00,BTC/UST,26221,26848,26136,26526,9811106.046666961,369.86752796
1694563200000,2023-09-13 00:00:00,BTC/UST,25840,26401,25774,26220,8167909.3255266,311.51446703
1694476800000,2023-09-12 00:00:00,BTC/UST,25168,26544,25139,25832,13980237.2651232,541.1984076
1694390400000,2023-09-11 00:00:00,BTC/UST,25847,25897,24910,25171,22513014.6936291,894.4028721
1694304000000,2023-09-10 00:00:00,BTC/UST,25900,26026,25580,25846,9303593.760213,359.9626155
1694217600000,2023-09-09 00:00:00,BTC/UST,25905,25942,25801,25900,4584517.718249001,177.00840611
1694131200000,2023-09-08 00:00:00,BTC/UST,26252,26439,25665,25904,9237409.93866608,356.60168077
1694044800000,2023-09-07 00:00:00,BTC/UST,25761,26433,25624,26244,6817692.8406117605,259.78101054
1693958400000,2023-09-06 00:00:00,BTC/UST,25792,26038,25375,25763,5380813.19241008,208.85817616
1693872000000,2023-09-05 00:00:00,BTC/UST,25824,25892,25583,25791,19651813.52503164,761.96400004
1693785600000,2023-09-04 00:00:00,BTC/UST,25971,26091,25645,25825,5611074.80121175,217.27298359
1693699200000,2023-09-03 00:00:00,BTC/UST,25868,26124,25808,25972,6191525.58748784,238.39232972
1693612800000,2023-09-02 00:00:00,BTC/UST,25807,25976,25756,25868,2996930.10157588,115.85472791
1693526400000,2023-09-01 00:00:00,BTC/UST,25938,26140,25339,25814,10796094.978506941,418.22634921
1693440000000,2023-08-31 00:00:00,BTC/UST,27297,27567,25670,25936,8540118.68786992,329.27663047
1693353600000,2023-08-30 00:00:00,BTC/UST,27719,27767,27025,27292,5053494.3746585995,185.16394455
1693267200000,2023-08-29 00:00:00,BTC/UST,26119,28142,25923,27719,17501986.68729042,631.40757918
1693180800000,2023-08-28 00:00:00,BTC/UST,26099,26243,25881,26118,3489477.4336138205,133.60431249
1693094400000,2023-08-27 00:00:00,BTC/UST,26018,26179,25973,26097,865843.3024246801,33.17788644
1693008000000,2023-08-26 00:00:00,BTC/UST,26061,26120,25996,26019,502151.90273451,19.29943129
1692921600000,2023-08-25 00:00:00,BTC/UST,26177,26298,25786,26059,3659962.37428393,140.44907227
1692835200000,2023-08-24 00:00:00,BTC/UST,26432,26570,25874,26174,5281667.52874208,201.79061392
1692748800000,2023-08-23 00:00:00,BTC/UST,26057,26811,25822,26432,6234390.782014079,235.86526869
1692662400000,2023-08-22 00:00:00,BTC/UST,26123,26137,25346,26050,15021407.894076,576.63753912
1692576000000,2023-08-21 00:00:00,BTC/UST,26180,26248,25811,26120,4506886.9369428,172.54544169
1692489600000,2023-08-20 00:00:00,BTC/UST,26098,26287,25985,26182,6120688.4133436605,233.77467013
1692403200000,2023-08-19 00:00:00,BTC/UST,26060,26271,25810,26100,13472938.823382,516.20455262
1692316800000,2023-08-18 00:00:00,BTC/UST,26626,26815,25637,26054,27164563.761936158,1042.62546104
1692230400000,2023-08-17 00:00:00,BTC/UST,28731,28778,24305,26629,40087531.59400146,1505.40882474
1692144000000,2023-08-16 00:00:00,BTC/UST,29198,29255,28722,28732,7450479.60526936,259.30946698
1692057600000,2023-08-15 00:00:00,BTC/UST,29436,29494,29086,29199,5320867.45206324,182.22772876
1691971200000,2023-08-14 00:00:00,BTC/UST,29304,29695,29114,29438,4406799.10924596,149.69763942
1691884800000,2023-08-13 00:00:00,BTC/UST,29429,29475,29280,29305,1910838.9345896002,65.20521872
1691798400000,2023-08-12 00:00:00,BTC/UST,29429,29479,29383,29429,1234632.64718811,41.95292559
1691712000000,2023-08-11 00:00:00,BTC/UST,29461,29560,29261,29429,4710813.1497787805,160.07384382
1691625600000,2023-08-10 00:00:00,BTC/UST,29583,29727,29349,29460,4478782.509257999,152.0292773
1691539200000,2023-08-09 00:00:00,BTC/UST,29774,30132,29385,29575,6714708.7376005,227.04002494
1691452800000,2023-08-08 00:00:00,BTC/UST,29213,30226,29149,29773,8763947.55262521,294.35890077
1691366400000,2023-08-07 00:00:00,BTC/UST,29090,29270,28708,29206,7150624.47109192,244.83409132
1691280000000,2023-08-06 00:00:00,BTC/UST,29071,29200,29001,29090,14095184.721312199,484.53711658
1691193600000,2023-08-05 00:00:00,BTC/UST,29114,29144,28988,29074,1298183.8267113,44.65102245
1691107200000,2023-08-04 00:00:00,BTC/UST,29197,29324,28810,29120,4314712.9031552,148.17008596
1691020800000,2023-08-03 00:00:00,BTC/UST,29185,29423,28972,29203,4937350.12277231,169.06996277
1690934400000,2023-08-02 00:00:00,BTC/UST,29709,30030,28936,29164,6979312.637236,239.312599
1690848000000,2023-08-01 00:00:00,BTC/UST,29232,29728,28600,29714,11238591.4833527,378.22546555
1690761600000,2023-07-31 00:00:00,BTC/UST,29282,29520,29121,29233,5537221.225824011,189.41679697
1690675200000,2023-07-30 00:00:00,BTC/UST,29357,29450,29040,29271,5091470.05663989,173.94247059
1690588800000,2023-07-29 00:00:00,BTC/UST,29317,29398,29255,29357,1388083.06809857,47.28286501
1690502400000,2023-07-28 00:00:00,BTC/UST,29219,29533,29132,29317,7284437.466521789,248.47144887
1690416000000,2023-07-27 00:00:00,BTC/UST,29345,29555,29093,29218,7695856.314644961,263.39435672
1690329600000,2023-07-26 00:00:00,BTC/UST,29226,29678,29109,29341,26845586.04606099,914.95129839
1690243200000,2023-07-25 00:00:00,BTC/UST,29175,29368,29057,29225,6314653.46393875,216.07026395
1690156800000,2023-07-24 00:00:00,BTC/UST,30085,30092,28875,29179,7238182.183296829,248.06135177
1690070400000,2023-07-23 00:00:00,BTC/UST,29785,30341,29741,30090,5580561.1675766995,185.46231863
