https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1652270400,2022-05-11 12:00:00,DOGE/USD,0.10118,0.1038,0.07198,0.0885,298124.321441,26384.002447528495
1652266800,2022-05-11 11:00:00,DOGE/USD,0.10625,0.10625,0.1013,0.1013,35145.487444,3560.2378780772
1652263200,2022-05-11 10:00:00,DOGE/USD,0.1077,0.10843,0.10618,0.10637,15253.771926,1622.5437197686201
1652259600,2022-05-11 09:00:00,DOGE/USD,0.10557,0.10811,0.1054,0.10757,55625.190827,5983.60177726039
1652256000,2022-05-11 08:00:00,DOGE/USD,0.10338,0.10545,0.10338,0.10545,106181.886266,11196.8799067497
1652252400,2022-05-11 07:00:00,DOGE/USD,0.10356,0.10458,0.10198,0.1035,13834.354122,1431.855651627
1652248800,2022-05-11 06:00:00,DOGE/USD,0.10791,0.10811,0.10368,0.10368,26057.910987,2701.68421113216
1652245200,2022-05-11 05:00:00,DOGE/USD,0.10788,0.10969,0.10771,0.10785,18893.829511,2037.69951276135
1652241600,2022-05-11 04:00:00,DOGE/USD,0.10948,0.10976,0.10792,0.10797,10248.589291,1106.54018574927
1652238000,2022-05-11 03:00:00,DOGE/USD,0.1104,0.11052,0.10959,0.10959,2920.579137,320.06626762383
1652234400,2022-05-11 02:00:00,DOGE/USD,0.10734,0.11048,0.10671,0.11036,16021.39233,1768.1208575388
1652230800,2022-05-11 01:00:00,DOGE/USD,0.10942,0.10942,0.10746,0.10746,8050.033477,865.05659743842
1652227200,2022-05-11 00:00:00,DOGE/USD,0.10824,0.11026,0.10758,0.10955,8209.615251,899.3633507470498
1652223600,2022-05-10 23:00:00,DOGE/USD,0.10798,0.11017,0.10757,0.10819,21539.066148,2330.31156655212
1652220000,2022-05-10 22:00:00,DOGE/USD,0.10616,0.10911,0.106,0.1081,17703.235618,1913.7197703058
1652216400,2022-05-10 21:00:00,DOGE/USD,0.10917,0.1103,0.1061,0.1061,24674.506468,2617.9651362547997
1652212800,2022-05-10 20:00:00,DOGE/USD,0.1109,0.1109,0.10906,0.10908,13978.404849,1524.76440092892
1652209200,2022-05-10 19:00:00,DOGE/USD,0.11212,0.11212,0.11067,0.11097,18077.753065,2006.0882576230501
1652205600,2022-05-10 18:00:00,DOGE/USD,0.11383,0.11383,0.11212,0.11225,8748.557983,982.0256335917501
1652202000,2022-05-10 17:00:00,DOGE/USD,0.11242,0.11449,0.11242,0.11395,8749.773343,997.0366724348501
1652198400,2022-05-10 16:00:00,DOGE/USD,0.11253,0.11253,0.11068,0.11228,12846.108316,1442.36104172048
1652194800,2022-05-10 15:00:00,DOGE/USD,0.11191,0.11307,0.11,0.11248,29654.271172,3335.51242142656
1652191200,2022-05-10 14:00:00,DOGE/USD,0.11483,0.11575,0.11104,0.11178,20052.410175,2241.4584093615003
1652187600,2022-05-10 13:00:00,DOGE/USD,0.11797,0.11811,0.1141,0.11478,67063.803806,7697.583400852679
1652184000,2022-05-10 12:00:00,DOGE/USD,0.11547,0.11783,0.11542,0.11783,22117.724053,2606.13142516499
1652180400,2022-05-10 11:00:00,DOGE/USD,0.11337,0.11675,0.11295,0.11544,10756.438343,1241.72324231592
1652176800,2022-05-10 10:00:00,DOGE/USD,0.11283,0.11395,0.11283,0.1135,1966.682814,223.21849938900002
1652173200,2022-05-10 09:00:00,DOGE/USD,0.11448,0.11448,0.11296,0.11296,3758.708153,424.58367296288003
1652169600,2022-05-10 08:00:00,DOGE/USD,0.11297,0.11534,0.11296,0.11461,55460.389316,6356.3152195067605
1652166000,2022-05-10 07:00:00,DOGE/USD,0.11401,0.11401,0.11265,0.11278,2711.911769,305.84940930782
1652162400,2022-05-10 06:00:00,DOGE/USD,0.1137,0.116,0.1137,0.11415,12979.769265,1481.64066159975
1652158800,2022-05-10 05:00:00,DOGE/USD,0.10977,0.11486,0.10977,0.11371,36085.94904,4103.3332653384
1652155200,2022-05-10 04:00:00,DOGE/USD,0.10802,0.10971,0.10763,0.10965,6039.87618,662.272423137
1652151600,2022-05-10 03:00:00,DOGE/USD,0.10873,0.10899,0.10815,0.10815,2075.323457,224.44623187455
1652148000,2022-05-10 02:00:00,DOGE/USD,0.10676,0.10915,0.10563,0.1086,16075.790928,1745.8308947808
1652144400,2022-05-10 01:00:00,DOGE/USD,0.10568,0.10768,0.10568,0.10688,21627.79257,2311.5784698816
1652140800,2022-05-10 00:00:00,DOGE/USD,0.10189,0.10573,0.1,0.10573,70388.952544,7442.22395247712
1652137200,2022-05-09 23:00:00,DOGE/USD,0.1088,0.10907,0.10119,0.10186,21674.190297,2207.7330236524203
1652133600,2022-05-09 22:00:00,DOGE/USD,0.10869,0.10972,0.10841,0.10864,13581.151856,1475.45633763584
1652130000,2022-05-09 21:00:00,DOGE/USD,0.10943,0.10973,0.10883,0.10883,15364.844132,1672.15598688556
1652126400,2022-05-09 20:00:00,DOGE/USD,0.10796,0.11094,0.10796,0.10932,42949.387825,4695.227077029
1652122800,2022-05-09 19:00:00,DOGE/USD,0.10722,0.10843,0.10627,0.10786,47816.258301,5157.46162034586
1652119200,2022-05-09 18:00:00,DOGE/USD,0.11005,0.11005,0.10591,0.10729,38868.328153,4170.18292753537
1652115600,2022-05-09 17:00:00,DOGE/USD,0.10952,0.11139,0.10747,0.11023,85861.128064,9464.47214649472
1652112000,2022-05-09 16:00:00,DOGE/USD,0.11383,0.11433,0.10569,0.10953,40848.87425,4474.1771966025
1652108400,2022-05-09 15:00:00,DOGE/USD,0.11597,0.11597,0.11322,0.11388,6114.338973,696.3009222452399
1652104800,2022-05-09 14:00:00,DOGE/USD,0.11757,0.11792,0.11573,0.11609,9528.767877,1106.19466284093
1652101200,2022-05-09 13:00:00,DOGE/USD,0.11727,0.11888,0.11727,0.11771,19504.514698,2295.8764251015796
1652097600,2022-05-09 12:00:00,DOGE/USD,0.11756,0.11817,0.11711,0.11741,6884.495092,808.30856875172
1652094000,2022-05-09 11:00:00,DOGE/USD,0.11507,0.11754,0.11479,0.11754,42709.879125,5020.1191923525
1652090400,2022-05-09 10:00:00,DOGE/USD,0.12093,0.12093,0.11453,0.11493,54026.506353,6209.26637515029
1652086800,2022-05-09 09:00:00,DOGE/USD,0.12128,0.12163,0.12097,0.12097,4595.598095,555.92950155215
1652083200,2022-05-09 08:00:00,DOGE/USD,0.12144,0.12144,0.1208,0.12143,5439.958293,660.5741355189899
1652079600,2022-05-09 07:00:00,DOGE/USD,0.12127,0.12163,0.1203,0.12149,94020.308862,11422.52732364438
1652076000,2022-05-09 06:00:00,DOGE/USD,0.12198,0.12198,0.12051,0.12108,8344.411456,1010.3413390924799
1652072400,2022-05-09 05:00:00,DOGE/USD,0.12254,0.12254,0.12212,0.12212,592.323442,72.33453873704
1652068800,2022-05-09 04:00:00,DOGE/USD,0.12236,0.12317,0.12236,0.12268,1962.956001,240.81544220268
1652065200,2022-05-09 03:00:00,DOGE/USD,0.12158,0.12264,0.12158,0.12222,5506.489042,673.00309071324
1652061600,2022-05-09 02:00:00,DOGE/USD,0.1249,0.1249,0.12136,0.12136,13104.374202,1590.34685315472
1652058000,2022-05-09 01:00:00,DOGE/USD,0.12498,0.12512,0.12498,0.12505,419.646741,52.47682496205
1652054400,2022-05-09 00:00:00,DOGE/USD,0.12415,0.1249,0.12396,0.1249,14692.977439,1835.1528821311
1652050800,2022-05-08 23:00:00,DOGE/USD,0.12527,0.12527,0.12414,0.12414,2311.771294,286.98328843716
1652047200,2022-05-08 22:00:00,DOGE/USD,0.1258,0.1258,0.12523,0.12523,730.943083,91.53600228409
1652043600,2022-05-08 21:00:00,DOGE/USD,0.12551,0.12595,0.12524,0.12588,1715.20455,215.90994875399997
1652040000,2022-05-08 20:00:00,DOGE/USD,0.12625,0.12625,0.12552,0.12567,2788.187538,350.39152790046
1652036400,2022-05-08 19:00:00,DOGE/USD,0.12585,0.12625,0.12564,0.12625,2267.759277,286.30460872125
1652032800,2022-05-08 18:00:00,DOGE/USD,0.12444,0.12605,0.12383,0.1258,6471.342943,814.0949422294
1652029200,2022-05-08 17:00:00,DOGE/USD,0.1261,0.1261,0.12379,0.1243,5481.203811,681.3136337073
1652025600,2022-05-08 16:00:00,DOGE/USD,0.12578,0.12617,0.12578,0.12616,3353.170433,423.03598182727995
1652022000,2022-05-08 15:00:00,DOGE/USD,0.12553,0.12592,0.12553,0.1257,819.462752,103.0064679264
1652018400,2022-05-08 14:00:00,DOGE/USD,0.12507,0.12559,0.12507,0.12559,763.811914,95.92713827926
1652014800,2022-05-08 13:00:00,DOGE/USD,0.12557,0.12586,0.12521,0.12521,2146.331874,268.74221394354
1652011200,2022-05-08 12:00:00,DOGE/USD,0.126,0.12636,0.12536,0.12536,3834.803972,480.73102592992
1652007600,2022-05-08 11:00:00,DOGE/USD,0.12633,0.12692,0.12591,0.12591,12807.12982,1612.5457156362
1652004000,2022-05-08 10:00:00,DOGE/USD,0.1257,0.12619,0.12568,0.12619,2663.403605,336.09490091494996
1652000400,2022-05-08 09:00:00,DOGE/USD,0.12622,0.12622,0.12554,0.12569,2645.969012,332.57184511828
1651996800,2022-05-08 08:00:00,DOGE/USD,0.12635,0.12635,0.12634,0.12634,15215.462732,1922.3215615608801
1651993200,2022-05-08 07:00:00,DOGE/USD,0.12654,0.12654,0.12653,0.12653,484.662413,61.324335116890005
1651989600,2022-05-08 06:00:00,DOGE/USD,0.12563,0.12708,0.12563,0.12653,10427.043964,1319.33387276492
1651986000,2022-05-08 05:00:00,DOGE/USD,0.12627,0.12627,0.12558,0.12558,1256.546963,157.79716761353998
1651982400,2022-05-08 04:00:00,DOGE/USD,0.1266,0.12665,0.12625,0.12625,855.355151,107.98858781375
1651978800,2022-05-08 03:00:00,DOGE/USD,0.12575,0.12659,0.12575,0.12659,1199.178575,151.80401580925
1651975200,2022-05-08 02:00:00,DOGE/USD,0.12691,0.12691,0.12489,0.12561,3451.739566,433.57300688526004
1651971600,2022-05-08 01:00:00,DOGE/USD,0.12707,0.12717,0.12657,0.12695,2017.681473,256.14466299735005
1651968000,2022-05-08 00:00:00,DOGE/USD,0.12764,0.12795,0.12716,0.12716,1889.057537,240.21255640491998
1651964400,2022-05-07 23:00:00,DOGE/USD,0.12572,0.12765,0.12572,0.12749,3918.026895,499.50924884355
1651960800,2022-05-07 22:00:00,DOGE/USD,0.12628,0.12667,0.12476,0.12558,4744.31847,595.7915134626
1651957200,2022-05-07 21:00:00,DOGE/USD,0.12891,0.12891,0.12642,0.12642,2991.59969,378.1980328098
1651953600,2022-05-07 20:00:00,DOGE/USD,0.12893,0.12902,0.12892,0.12892,1503.396866,193.81792396472002
1651950000,2022-05-07 19:00:00,DOGE/USD,0.12927,0.1299,0.12892,0.12892,20494.65363,2642.1707459796003
1651946400,2022-05-07 18:00:00,DOGE/USD,0.13014,0.1308,0.12917,0.12917,14303.571036,1847.59227072012
1651942800,2022-05-07 17:00:00,DOGE/USD,0.12966,0.13004,0.1295,0.13004,886.316286,115.25656983143999
1651939200,2022-05-07 16:00:00,DOGE/USD,0.13209,0.13209,0.12962,0.12962,12120.952322,1571.11783997764
1651935600,2022-05-07 15:00:00,DOGE/USD,0.12972,0.13217,0.12956,0.13215,5531.178275,730.94520904125
1651932000,2022-05-07 14:00:00,DOGE/USD,0.12826,0.13056,0.12824,0.1298,6300.704442,817.8314365716
1651928400,2022-05-07 13:00:00,DOGE/USD,0.12854,0.12854,0.12776,0.12821,4101.342873,525.8331697473299
1651924800,2022-05-07 12:00:00,DOGE/USD,0.128,0.12838,0.12785,0.12838,1214.809389,155.95722935982
1651921200,2022-05-07 11:00:00,DOGE/USD,0.12786,0.12805,0.12772,0.12805,3250.51788,416.228814534
