https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1658620800000,2022-07-24 00:00:00,BTC/EUR,22000.17,22522.38,21847.07,22232.15,29.36885896,652932.8777275641
1658548800000,2022-07-23 04:00:00,BTC/EUR,22412.99,22509.68,21526.85,21891.83,26.2838358,575401.265081514
1658534400000,2022-07-23 00:00:00,BTC/EUR,22226.17,22509.68,21526.85,22000.17,27.63410375,607954.9802976375
1658462400000,2022-07-22 04:00:00,BTC/EUR,22497.63,23270.05,22079.0,22412.99,24.73304106,554341.4019473694
1658448000000,2022-07-22 00:00:00,BTC/EUR,22686.58,23270.05,22079.0,22226.17,24.60718276,546923.4272448291
1658376000000,2022-07-21 04:00:00,BTC/EUR,22310.2,22863.63,21982.18,22497.63,34.45552062,775167.5543661306
1658361600000,2022-07-21 00:00:00,BTC/EUR,22950.58,22989.58,21982.18,22686.58,36.24929162,822372.4542804597
1658289600000,2022-07-20 04:00:00,BTC/EUR,22891.16,23763.06,22224.72,22310.2,23.04288309,514091.330314518
1658275200000,2022-07-20 00:00:00,BTC/EUR,22757.93,23763.06,22419.75,22950.58,24.57727575,564062.733282435
1658203200000,2022-07-19 04:00:00,BTC/EUR,21609.43,23200.54,21192.2,22891.16,31.33814718,717366.5412009287
1658188800000,2022-07-19 00:00:00,BTC/EUR,22156.95,23200.54,21192.2,22757.93,33.89750514,771437.0491507602
1658116800000,2022-07-18 04:00:00,BTC/EUR,21075.1,22990.0,20881.92,21609.43,25.8082539,557701.656074277
1658102400000,2022-07-18 00:00:00,BTC/EUR,20659.08,22388.51,20634.3,22156.95,18.52123783,410374.14053741854
1658030400000,2022-07-17 04:00:00,BTC/EUR,21186.65,21481.21,20617.84,21075.1,3.88462779,81868.91913702899
1658016000000,2022-07-17 00:00:00,BTC/EUR,21019.8,21481.21,20617.84,20659.08,3.49164281,72134.12814321481
1657944000000,2022-07-16 04:00:00,BTC/EUR,20569.58,21384.47,20329.61,21186.65,5.38415934,114072.29948081101
1657929600000,2022-07-16 00:00:00,BTC/EUR,20679.41,21384.47,20329.61,21019.8,5.38723569,113238.616756662
1657857600000,2022-07-15 04:00:00,BTC/EUR,20459.44,21004.7,20433.72,20569.58,12.74480016,262155.1864751328
1657843200000,2022-07-15 00:00:00,BTC/EUR,20522.27,21004.7,20357.85,20679.41,12.76875177,264050.2530400557
1657771200000,2022-07-14 04:00:00,BTC/EUR,20195.25,20821.49,19632.4,20459.44,13.88859249,284152.8247336056
1657756800000,2022-07-14 00:00:00,BTC/EUR,20149.48,20821.49,19632.4,20522.27,15.38089482,315650.8763376414
1657684800000,2022-07-13 04:00:00,BTC/EUR,19403.07,20342.62,19403.07,20195.25,2.18421276,44110.72274139
1657670400000,2022-07-13 00:00:00,BTC/EUR,19329.9,20217.36,18948.92,20149.48,34.13279129,687757.9954420292
1657598400000,2022-07-12 04:00:00,BTC/EUR,19863.44,20002.68,19207.87,19403.07,49.46584224,959789.1995916768
1657584000000,2022-07-12 00:00:00,BTC/EUR,19906.12,20002.68,19207.87,19329.9,50.29994009,972292.8119456911
1657512000000,2022-07-11 04:00:00,BTC/EUR,20328.11,20590.18,19719.93,19863.44,13.07371917,259689.0363101448
1657497600000,2022-07-11 00:00:00,BTC/EUR,20517.98,20590.18,19800.0,19906.12,13.52584998,269247.1928038776
1657425600000,2022-07-10 04:00:00,BTC/EUR,20924.9,21024.45,20160.17,20328.11,8.75586295,177990.14519252448
1657411200000,2022-07-10 00:00:00,BTC/EUR,21180.33,21203.86,20303.62,20517.98,7.76435824,159308.9470811552
1657339200000,2022-07-09 04:00:00,BTC/EUR,21214.2,21570.05,20803.4,20924.9,14.13971135,295872.046027615
1657324800000,2022-07-09 00:00:00,BTC/EUR,21202.43,21570.05,20954.74,21180.33,19.15018874,405607.31707548426
1657252800000,2022-07-08 04:00:00,BTC/EUR,21753.33,21861.55,20943.76,21214.2,26.5938255,564166.7329221
1657238400000,2022-07-08 00:00:00,BTC/EUR,21335.21,22022.87,20943.76,21202.43,24.82654907,526383.1687982401
1657166400000,2022-07-07 04:00:00,BTC/EUR,20057.69,22022.87,19835.31,21753.33,44.26011113,962804.803247563
1657152000000,2022-07-07 00:00:00,BTC/EUR,20179.16,21469.99,19835.31,21335.21,40.7241068,868857.370640428
1657080000000,2022-07-06 04:00:00,BTC/EUR,19455.41,20298.67,19455.41,20057.69,1.99445962,40004.2527754778
1657065600000,2022-07-06 00:00:00,BTC/EUR,19652.43,20298.67,19310.4,20179.16,12.23079932,246807.2564061712
1656993600000,2022-07-05 04:00:00,BTC/EUR,19432.79,20149.19,18786.85,19455.41,24.33063194,473362.41995179537
1656979200000,2022-07-05 00:00:00,BTC/EUR,19387.16,20149.19,18786.85,19652.43,26.59838396,522722.8788870228
1656907200000,2022-07-04 04:00:00,BTC/EUR,18322.86,19575.2,18278.26,19432.79,23.20731418,450982.86292396224
1656892800000,2022-07-04 00:00:00,BTC/EUR,18495.38,19465.25,18278.26,19387.16,19.97883724,387332.9141858384
1656820800000,2022-07-03 04:00:00,BTC/EUR,18475.68,19100.0,18123.0,18322.86,6.8232506,125021.465488716
1656806400000,2022-07-03 00:00:00,BTC/EUR,18448.8,19100.0,18123.0,18495.38,6.563544,121395.24042672002
1656734400000,2022-07-02 04:00:00,BTC/EUR,18339.58,18575.87,18236.03,18475.68,8.56942391,158325.9339455088
1656720000000,2022-07-02 00:00:00,BTC/EUR,18579.88,18579.88,18236.03,18448.8,8.6817496,160167.86202047998
1656648000000,2022-07-01 04:00:00,BTC/EUR,18993.63,19099.97,17500.0,18339.58,9.58126528,175716.38110378242
1656633600000,2022-07-01 00:00:00,BTC/EUR,18968.58,19865.27,17500.0,18579.88,12.64407677,234925.42909738762
1656586800000,2022-06-30 11:00:00,BTC/EUR,18255.13,19865.27,17800.0,18197.36,22.5904207,411086.018029352
1656561600000,2022-06-30 04:00:00,BTC/EUR,19183.67,19865.27,17800.0,18993.63,21.23019681,403238.5030363203
1656500400000,2022-06-29 11:00:00,BTC/EUR,19108.0,19553.63,18188.0,18255.13,14.52716963,265195.3701277019
1656475200000,2022-06-29 04:00:00,BTC/EUR,19219.73,19553.63,19150.94,19183.67,7.53917401,144629.0262804167
1656414000000,2022-06-28 11:00:00,BTC/EUR,19892.85,20015.0,18500.0,19108.0,9.36537211,178953.53027788
1656388800000,2022-06-28 04:00:00,BTC/EUR,19590.21,20015.0,18500.0,19219.73,6.18599011,118893.05969687029
1656327600000,2022-06-27 11:00:00,BTC/EUR,20264.13,20274.97,19400.0,19892.85,13.51967443,268944.8554848255
1656302400000,2022-06-27 04:00:00,BTC/EUR,20056.43,20305.53,19400.0,19590.21,13.07936148,256227.43805911078
1656241200000,2022-06-26 11:00:00,BTC/EUR,20314.73,20957.43,19849.54,20264.13,7.02643928,142384.6790070264
1656216000000,2022-06-26 04:00:00,BTC/EUR,20347.02,20957.43,19849.54,20056.43,7.37089752,147833.8901470536
1656154800000,2022-06-25 11:00:00,BTC/EUR,20334.36,20440.54,19893.32,20314.73,4.11013718,83496.3270746614
1656129600000,2022-06-25 04:00:00,BTC/EUR,20197.35,20440.54,19893.32,20347.02,3.52997373,71824.4460837846
1656068400000,2022-06-24 11:00:00,BTC/EUR,19905.9,20436.67,19747.99,20334.36,5.58310283,113528.8228622388
1656043200000,2022-06-24 04:00:00,BTC/EUR,20043.56,20371.35,19712.56,20197.35,8.64702711,174647.0330001585
1655982000000,2022-06-23 11:00:00,BTC/EUR,19748.34,20237.19,19291.71,19905.9,16.91164542,336641.522565978
