https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1660190400000,2022-08-11 04:00:00,BTCG/USD,24372.85,25058.5,23814.5,24031.12,3.02062355,72588.96700487599
1660176000000,2022-08-11 00:00:00,BTCG/USD,23946.91,25058.5,23855.94,25058.5,7.62533638,191079.49167823
1660104000000,2022-08-10 04:00:00,BTCG/USD,22919.26,24454.99,22874.99,24372.85,5.28398404,128785.75040931399
1660089600000,2022-08-10 00:00:00,BTCG/USD,23149.96,24170.87,22759.55,23946.91,3.69131627,88395.6184992257
1660017600000,2022-08-09 04:00:00,BTCG/USD,23832.18,23883.99,22759.55,22919.26,2.52595215,57892.954073409
1660003200000,2022-08-09 00:00:00,BTCG/USD,23797.52,23883.99,23001.85,23149.96,2.71025977,62742.4052651092
1659931200000,2022-08-08 04:00:00,BTCG/USD,23275.5,24198.93,23275.5,23832.18,6.56276023,156404.88309820142
1659916800000,2022-08-08 00:00:00,BTCG/USD,23172.41,24198.93,23163.69,23797.52,6.96839915,165830.618140108
1659844800000,2022-08-07 04:00:00,BTCG/USD,23016.39,23419.82,22845.39,23275.5,2.22004348,51672.62201874
1659830400000,2022-08-07 00:00:00,BTCG/USD,23460.59,23460.59,22845.39,23172.41,1.31415201,30452.069178044097
1659758400000,2022-08-06 04:00:00,BTCG/USD,23274.08,23460.59,22878.0,23016.39,0.75181833,17304.1438924287
1659744000000,2022-08-06 00:00:00,BTCG/USD,23307.03,23460.59,22975.24,23460.59,1.26587373,29698.1445713007
1659672000000,2022-08-05 04:00:00,BTCG/USD,23159.06,23385.64,22731.27,23274.08,4.55550321,106025.14614979681
1659657600000,2022-08-05 00:00:00,BTCG/USD,23350.65,23385.64,22655.07,23307.03,4.32736495,100858.02471059849
1659585600000,2022-08-04 04:00:00,BTCG/USD,23157.81,23350.65,22467.03,23159.06,4.34667004,100664.79225656242
1659571200000,2022-08-04 00:00:00,BTCG/USD,22820.45,23350.65,22467.03,23350.65,4.71573798,110115.54706268701
1659499200000,2022-08-03 04:00:00,BTCG/USD,22825.61,23544.18,22764.68,23157.81,1.67274903,38737.2042144243
1659484800000,2022-08-03 00:00:00,BTCG/USD,23075.71,23622.77,22739.56,22820.45,4.3266712,98736.58378604
1659412800000,2022-08-02 04:00:00,BTCG/USD,22913.61,23521.53,22684.3,22825.61,5.60678825,127978.3619470825
1659398400000,2022-08-02 00:00:00,BTCG/USD,23325.75,23521.53,22684.3,23075.71,5.69446094,131403.72925776738
1659326400000,2022-08-01 04:00:00,BTCG/USD,23347.56,23489.73,22829.11,22913.61,13.11383676,300485.3411223036
1659312000000,2022-08-01 00:00:00,BTCG/USD,23327.88,23489.73,22868.15,23325.75,14.37015055,335194.5391916625
1659240000000,2022-07-31 04:00:00,BTCG/USD,24422.49,24422.49,23285.96,23347.56,5.25718164,122742.3637707984
1659225600000,2022-07-31 00:00:00,BTCG/USD,23600.0,24850.0,23285.96,23327.88,3.76924147,87928.4127031836
1659153600000,2022-07-30 04:00:00,BTCG/USD,23840.55,25110.0,23574.88,24422.49,2.19071736,53502.7728174264
1659139200000,2022-07-30 00:00:00,BTCG/USD,25000.0,25110.0,23574.88,23600.0,1.95566603,46153.718307999996
1659067200000,2022-07-29 04:00:00,BTCG/USD,23793.17,25000.0,23471.96,23840.55,13.23586677,315550.3435235235
1659052800000,2022-07-29 00:00:00,BTCG/USD,23850.52,25000.0,23471.96,25000.0,13.02857762,325714.4405
1658980800000,2022-07-28 04:00:00,BTCG/USD,23121.39,24143.06,23121.39,23793.17,5.88161476,139942.2598591892
1658966400000,2022-07-28 00:00:00,BTCG/USD,22913.39,24143.06,22126.92,23850.52,19.330265,461036.8719878
1658894400000,2022-07-27 04:00:00,BTCG/USD,21111.07,23462.65,21088.34,23121.39,33.75707829,780510.5724036231
1658880000000,2022-07-27 00:00:00,BTCG/USD,21245.32,22992.0,21088.34,22913.39,30.34442038,695293.5384908882
1658808000000,2022-07-26 04:00:00,BTCG/USD,21102.08,21259.0,20734.84,21111.07,5.68156174,119943.8476024618
1658793600000,2022-07-26 00:00:00,BTCG/USD,21334.2,21334.2,20734.84,21245.32,9.48098268,201426.5109510576
1658721600000,2022-07-25 04:00:00,BTCG/USD,21858.13,22272.56,20994.0,21102.08,19.77272236,417245.56905850885
1658707200000,2022-07-25 00:00:00,BTCG/USD,22623.14,22623.14,21312.84,21334.2,18.00282709,384075.913703478
1658635200000,2022-07-24 04:00:00,BTCG/USD,22442.93,23189.0,21817.0,21858.13,3.67000284,80219.3991770892
1658620800000,2022-07-24 00:00:00,BTCG/USD,22476.62,23189.0,22373.47,22623.14,2.08355819,47136.62863051661
1658548800000,2022-07-23 04:00:00,BTCG/USD,22864.94,22986.85,22000.0,22442.93,10.78989288,242156.8106133384
1658534400000,2022-07-23 00:00:00,BTCG/USD,22697.43,22986.85,22000.0,22476.62,10.48540132,235676.38101713837
1658462400000,2022-07-22 04:00:00,BTCG/USD,22906.27,23665.28,22592.87,22864.94,14.0296196,320786.410376824
1658448000000,2022-07-22 00:00:00,BTCG/USD,23172.45,23665.28,22592.87,22697.43,14.32564863,325155.4069840209
1658376000000,2022-07-21 04:00:00,BTCG/USD,22772.33,23340.0,22360.0,22906.27,13.12560811,300658.7232818497
1658361600000,2022-07-21 00:00:00,BTCG/USD,23243.37,23399.06,22360.0,23172.45,15.35372519,355783.4292790155
1658289600000,2022-07-20 04:00:00,BTCG/USD,23476.27,24238.89,22746.18,22772.33,23.39993093,532870.9491151669
1658275200000,2022-07-20 00:00:00,BTCG/USD,23401.03,24238.89,23009.94,23243.37,23.89026766,555290.3306204141
1658203200000,2022-07-19 04:00:00,BTCG/USD,21913.08,23737.0,21596.56,23476.27,19.37031277,454742.69257296796
1658188800000,2022-07-19 00:00:00,BTCG/USD,22408.74,23737.0,21596.56,23401.03,20.25752647,474046.984650264
1658116800000,2022-07-18 04:00:00,BTCG/USD,21303.42,22834.78,21199.93,21913.08,17.44378399,382247.0340755892
1658102400000,2022-07-18 00:00:00,BTCG/USD,20797.35,22699.23,20797.35,22408.74,14.54402836,325913.3500718664
1658030400000,2022-07-17 04:00:00,BTCG/USD,21374.35,21827.44,20797.35,21303.42,2.73560887,58277.824713335394
1658016000000,2022-07-17 00:00:00,BTCG/USD,21209.47,21827.44,20797.35,20797.35,2.03939632,42414.03905575199
1657944000000,2022-07-16 04:00:00,BTCG/USD,20685.76,21519.09,20540.07,21374.35,4.14480011,88592.4082311785
1657929600000,2022-07-16 00:00:00,BTCG/USD,20819.49,21519.09,20540.07,21209.47,3.55821831,75467.92449939571
1657857600000,2022-07-15 04:00:00,BTCG/USD,20502.96,21163.85,20501.41,20685.76,10.33143007,213713.48288480318
1657843200000,2022-07-15 00:00:00,BTCG/USD,20582.66,21163.85,20392.17,20819.49,11.48545645,239121.3457062105
1657771200000,2022-07-14 04:00:00,BTCG/USD,20306.04,20927.1,19638.18,20502.96,15.77177448,323368.06129246077
1657756800000,2022-07-14 00:00:00,BTCG/USD,20162.08,20927.1,19638.18,20582.66,17.05981109,351136.2913296994
1657684800000,2022-07-13 04:00:00,BTCG/USD,19470.07,20411.94,19470.07,20306.04,5.1963196,105516.67365038401
1657670400000,2022-07-13 00:00:00,BTCG/USD,19349.87,20256.76,18927.04,20162.08,54.42267778,1097274.3832145825
1657598400000,2022-07-12 04:00:00,BTCG/USD,19923.04,20642.65,19282.22,19470.07,13.1251457,255547.505539199
1657584000000,2022-07-12 00:00:00,BTCG/USD,20017.03,20642.65,19282.22,19349.87,16.43662565,318046.5695661655
1657512000000,2022-07-11 04:00:00,BTCG/USD,20619.7,20719.54,19801.71,19923.04,23.31516769,464509.0184945776
1657497600000,2022-07-11 00:00:00,BTCG/USD,20836.58,20836.58,19918.74,20017.03,21.41625315,428689.78179114446
1657425600000,2022-07-10 04:00:00,BTCG/USD,21265.37,21615.0,20507.3,20619.7,4.40279241,90784.258656477
1657411200000,2022-07-10 00:00:00,BTCG/USD,21564.08,21615.0,20550.0,20836.58,3.02352289,62999.87657931621
1657339200000,2022-07-09 04:00:00,BTCG/USD,21514.63,21884.67,21265.37,21265.37,9.61374403,204439.82388324107
1657324800000,2022-07-09 00:00:00,BTCG/USD,21608.81,21884.67,21371.0,21564.08,12.42011714,267828.3996163312
1657252800000,2022-07-08 04:00:00,BTCG/USD,21956.5,22462.16,21329.69,21514.63,20.88196546,449267.7605446798
1657238400000,2022-07-08 00:00:00,BTCG/USD,21644.07,22462.16,21329.69,21608.81,19.71040793,425918.4599818633
1657166400000,2022-07-07 04:00:00,BTCG/USD,20384.22,22222.0,20261.0,21956.5,19.44631141,426972.936473665
1657152000000,2022-07-07 00:00:00,BTCG/USD,20598.26,21781.23,20261.0,21644.07,17.95208099,388556.09759322926
1657080000000,2022-07-06 04:00:00,BTCG/USD,19879.87,20598.26,19879.87,20384.22,8.98174436,183085.8530179992
1657065600000,2022-07-06 00:00:00,BTCG/USD,20156.32,20598.26,19780.43,20598.26,29.70531027,611877.7043221301
1656993600000,2022-07-05 04:00:00,BTCG/USD,20213.47,20623.97,19283.45,19879.87,43.00110636,854856.4042929732
1656979200000,2022-07-05 00:00:00,BTCG/USD,20250.58,20623.97,19283.45,20156.32,44.72267096,901444.4671244672
1656907200000,2022-07-04 04:00:00,BTCG/USD,19084.25,20408.01,19069.34,20213.47,35.85561457,724766.3894422579
1656892800000,2022-07-04 00:00:00,BTCG/USD,19296.0,20312.26,19026.64,20250.58,30.47056395,617046.5929145911
1656820800000,2022-07-03 04:00:00,BTCG/USD,19128.43,20050.0,18895.92,19084.25,4.98844466,95200.725002605
1656806400000,2022-07-03 00:00:00,BTCG/USD,19319.12,20050.0,18895.92,19296.0,2.24185446,43258.82366016
1656734400000,2022-07-02 04:00:00,BTCG/USD,19115.57,19352.85,18988.43,19128.43,11.62650082,222396.7070803126
1656720000000,2022-07-02 00:00:00,BTCG/USD,19302.96,19352.85,18988.43,19319.12,12.53330248,242132.3746074176
1656648000000,2022-07-01 04:00:00,BTCG/USD,19861.79,19861.79,18984.64,19115.57,27.49295608,525543.5264541656
1656633600000,2022-07-01 00:00:00,BTCG/USD,19515.0,20777.0,18984.64,19302.96,41.55196602,802075.9380054192
1656590400000,2022-06-30 12:00:00,BTCG/USD,19069.51,20777.0,18672.48,19153.16,38.6147396,739594.285917136
1656561600000,2022-06-30 04:00:00,BTCG/USD,20048.06,20777.0,18672.48,19861.79,42.30663184,840285.4372133936
1656504000000,2022-06-29 12:00:00,BTCG/USD,20000.73,20406.6,18925.0,19069.51,29.52071352,562945.5416767752
1656475200000,2022-06-29 04:00:00,BTCG/USD,20223.45,20406.6,19964.62,20048.06,3.99362155,80064.364451693
1656417600000,2022-06-28 12:00:00,BTCG/USD,20993.27,21078.72,19849.02,20000.73,22.7756379,455529.38421566697
1656388800000,2022-06-28 04:00:00,BTCG/USD,20695.42,21114.41,20137.61,20223.45,14.6553254,296381.24046063004
1656331200000,2022-06-27 12:00:00,BTCG/USD,21328.09,21328.09,20495.73,20993.27,24.99014719,524624.9072994113
1656302400000,2022-06-27 04:00:00,BTCG/USD,21176.69,21506.4,20495.73,20695.42,27.43055631,567686.8836691001
1656244800000,2022-06-26 12:00:00,BTCG/USD,21600.0,21945.71,20970.45,21328.09,16.20974617,345722.9251909153
